geoid,county,state,extreme_heat_days
01001,Autauga,AL,6.13
01003,Baldwin,AL,6.57
01005,Barbour,AL,6.13
01007,Bibb,AL,6.17
01009,Blount,AL,6.30
01011,Bullock,AL,6.00
01013,Butler,AL,6.07
01015,Calhoun,AL,6.43
01017,Chambers,AL,6.07
01019,Cherokee,AL,6.37
01021,Chilton,AL,6.30
01023,Choctaw,AL,6.13
01025,Clarke,AL,6.13
01027,Clay,AL,6.30
01029,Cleburne,AL,6.37
01031,Coffee,AL,6.13
01033,Colbert,AL,6.17
01035,Conecuh,AL,6.00
01037,Coosa,AL,6.13
01039,Covington,AL,6.07
01041,Crenshaw,AL,6.10
01043,Cullman,AL,6.47
01045,Dale,AL,6.17
01047,Dallas,AL,6.27
01049,DeKalb,AL,6.17
01051,Elmore,AL,6.17
01053,Escambia,AL,6.27
01055,Etowah,AL,6.50
01057,Fayette,AL,6.57
01059,Franklin,AL,6.13
01061,Geneva,AL,6.13
01063,Greene,AL,6.40
01065,Hale,AL,6.63
01067,Henry,AL,6.33
01069,Houston,AL,6.13
01071,Jackson,AL,6.20
01073,Jefferson,AL,6.20
01075,Lamar,AL,6.30
01077,Lauderdale,AL,6.13
01079,Lawrence,AL,6.33
01081,Lee,AL,5.83
01083,Limestone,AL,6.50
01085,Lowndes,AL,5.93
01087,Macon,AL,6.07
01089,Madison,AL,6.47
01091,Marengo,AL,6.43
01093,Marion,AL,6.53
01095,Marshall,AL,6.47
01097,Mobile,AL,6.20
01099,Monroe,AL,6.00
01101,Montgomery,AL,5.97
01103,Morgan,AL,6.60
01105,Perry,AL,6.43
01107,Pickens,AL,6.27
01109,Pike,AL,6.00
01111,Randolph,AL,6.17
01113,Russell,AL,5.97
01115,St. Clair,AL,6.53
01117,Shelby,AL,6.33
01119,Sumter,AL,6.17
01121,Talladega,AL,6.43
01123,Tallapoosa,AL,6.20
01125,Tuscaloosa,AL,6.43
01127,Walker,AL,6.43
01129,Washington,AL,6.30
01131,Wilcox,AL,6.13
01133,Winston,AL,6.40
04001,Apache,AZ,7.00
04003,Cochise,AZ,6.43
04005,Coconino,AZ,6.93
04007,Gila,AZ,6.20
04009,Graham,AZ,6.53
04011,Greenlee,AZ,6.77
