geoid,county,state,food_env_index
01001,Autauga,AL,6.8
01003,Baldwin,AL,7.4
01005,Barbour,AL,6.2
01007,Bibb,AL,7.3
01009,Blount,AL,7.4
01011,Bullock,AL,4.4
01013,Butler,AL,7.0
01015,Calhoun,AL,5.9
01017,Chambers,AL,6.9
01019,Cherokee,AL,7.0
01021,Chilton,AL,7.2
01023,Choctaw,AL,6.2
01025,Clarke,AL,5.4
01027,Clay,AL,7.2
01029,Cleburne,AL,7.4
01031,Coffee,AL,6.7
01033,Colbert,AL,6.7
01035,Conecuh,AL,6.4
01037,Coosa,AL,7.2
01039,Covington,AL,6.7
01041,Crenshaw,AL,6.5
01043,Cullman,AL,7.4
01045,Dale,AL,6.4
01047,Dallas,AL,6.4
01049,DeKalb,AL,
01051,Elmore,AL,7.9
01053,Escambia,AL,6.7
01055,Etowah,AL,6.3
01057,Fayette,AL,6.9
01059,Franklin,AL,6.9
01061,Geneva,AL,6.6
01063,Greene,AL,4.5
01065,Hale,AL,6.6
01067,Henry,AL,7.0
01069,Houston,AL,7.2
01071,Jackson,AL,6.5
01073,Jefferson,AL,6.9
01075,Lamar,AL,7.3
01077,Lauderdale,AL,7.2
01079,Lawrence,AL,7.0
01081,Lee,AL,6.9
01083,Limestone,AL,7.6
01085,Lowndes,AL,5.4
01087,Macon,AL,5.6
01089,Madison,AL,7.5
01091,Marengo,AL,6.2
01093,Marion,AL,7.0
01095,Marshall,AL,6.6
01097,Mobile,AL,6.9
01099,Monroe,AL,6.2
01101,Montgomery,AL,6.9
01103,Morgan,AL,7.0
01105,Perry,AL,3.9
01107,Pickens,AL,7.1
01109,Pike,AL,6.7
01111,Randolph,AL,6.1
01113,Russell,AL,6.7
01115,St. Clair,AL,7.9
01117,Shelby,AL,8.2
01119,Sumter,AL,6.3
01121,Talladega,AL,6.7
01123,Tallapoosa,AL,7.3
01125,Tuscaloosa,AL,7.5
01127,Walker,AL,6.8
01129,Washington,AL,7.5
01131,Wilcox,AL,4.7
01133,Winston,AL,6.9
02013,Aleutians East,AK,7.3
02016,Aleutians West,AK,7.9
02020,Anchorage,AK,8.6
02050,Bethel,AK,2.9
02060,Bristol Bay,AK,7.3
02068,Denali,AK,5.7
02070,Dillingham,AK,4.9
02090,Fairbanks North Star,AK,8.3
02100,Haines,AK,7.7
02105,Hoonah-Angoon,AK,5.0
02110,Juneau,AK,9.0
02122,Kenai Peninsula,AK,7.7
02130,Ketchikan Gateway,AK,8.7
02150,Kodiak Island,AK,7.8
02158,Kusilvak,AK,
02164,Lake and Peninsula,AK,3.8
02170,Matanuska-Susitna,AK,8.0
02180,Nome,AK,6.1
02185,North Slope,AK,7.9
02188,Northwest Arctic,AK,4.6
02195,Petersburg,AK,8.7
02198,Prince of Wales-Hyder,AK,6.9
02220,Sitka,AK,8.4
02230,Skagway,AK,8.7
02240,Southeast Fairbanks,AK,7.2
02261,Valdez-Cordova,AK,
02275,Wrangell,AK,7.7
02282,Yakutat,AK,8.5
02290,Yukon-Koyukuk,AK,2.7
04001,Apache,AZ,3.1
04003,Cochise,AZ,6.6
04005,Coconino,AZ,7.0
04007,Gila,AZ,6.7
04009,Graham,AZ,6.7
04011,Greenlee,AZ,7.1
04012,La Paz,AZ,4.7
04013,Maricopa,AZ,8.3
04015,Mohave,AZ,6.0
04017,Navajo,AZ,4.6
04019,Pima,AZ,7.5
04021,Pinal,AZ,7.3
04023,Santa Cruz,AZ,5.7
04025,Yavapai,AZ,7.2
04027,Yuma,AZ,6.3
05001,Arkansas,AR,5.1
05003,Ashley,AR,5.8
05005,Baxter,AR,6.6
05007,Benton,AR,7.7
05009,Boone,AR,6.6
05011,Bradley,AR,6.4
05013,Calhoun,AR,5.3
05015,Carroll,AR,7.0
05017,Chicot,AR,5.2
05019,Clark,AR,6.2
05021,Clay,AR,6.2
05023,Cleburne,AR,6.7
05025,Cleveland,AR,6.9
05027,Columbia,AR,6.4
05029,Conway,AR,5.8
05031,Craighead,AR,6.4
05033,Crawford,AR,5.9
05035,Crittenden,AR,6.7
05037,Cross,AR,5.7
05039,Dallas,AR,5.1
05041,Desha,AR,5.2
05043,Drew,AR,6.5
05045,Faulkner,AR,6.6
05047,Franklin,AR,6.6
05049,Fulton,AR,6.7
05051,Garland,AR,6.1
05053,Grant,AR,6.4
05055,Greene,AR,6.4
05057,Hempstead,AR,5.6
05059,Hot Spring,AR,5.8
05061,Howard,AR,5.9
05063,Independence,AR,6.4
05065,Izard,AR,6.6
05067,Jackson,AR,5.3
05069,Jefferson,AR,6.7
05071,Johnson,AR,5.5
05073,Lafayette,AR,6.1
05075,Lawrence,AR,5.2
05077,Lee,AR,4.8
05079,Lincoln,AR,5.9
05081,Little River,AR,7.9
05083,Logan,AR,6.4
05085,Lonoke,AR,7.4
05087,Madison,AR,6.3
05089,Marion,AR,6.6
05091,Miller,AR,6.0
05093,Mississippi,AR,6.1
05095,Monroe,AR,5.5
05097,Montgomery,AR,5.7
05099,Nevada,AR,3.9
05101,Newton,AR,6.6
05103,Ouachita,AR,5.5
05105,Perry,AR,6.7
05107,Phillips,AR,4.6
05109,Pike,AR,6.1
05111,Poinsett,AR,5.7
05113,Polk,AR,5.4
05115,Pope,AR,6.3
05117,Prairie,AR,7.6
05119,Pulaski,AR,6.6
05121,Randolph,AR,6.0
05123,St. Francis,AR,4.9
05125,Saline,AR,7.4
05127,Scott,AR,5.1
05129,Searcy,AR,4.6
05131,Sebastian,AR,6.6
05133,Sevier,AR,5.7
05135,Sharp,AR,5.3
05137,Stone,AR,5.3
05139,Union,AR,6.4
