geoid,county,state,gyms,population,gyms_per_10k,gyms_year
01001,Autauga,AL,9,59285,1.52,2023
01003,Baldwin,AL,28,239945,1.17,2023
01005,Barbour,AL,,24757,,
01007,Bibb,AL,0,22152,0.00,2023
01009,Blount,AL,5,59292,0.84,2023
01011,Bullock,AL,0,10157,0.00,2023
01013,Butler,AL,,18807,,
01015,Calhoun,AL,7,116141,0.60,2023
01017,Chambers,AL,,34450,,
01019,Cherokee,AL,,25224,,
01021,Chilton,AL,4,45500,0.88,2023
01023,Choctaw,AL,,12525,,
01025,Clarke,AL,0,22802,0.00,2023
01027,Clay,AL,0,14188,0.00,2023
01029,Cleburne,AL,0,15254,0.00,2023
01031,Coffee,AL,,54231,,
01033,Colbert,AL,8,57648,1.39,2023
01035,Conecuh,AL,0,11411,0.00,2023
01037,Coosa,AL,0,10323,0.00,2023
01039,Covington,AL,3,37647,0.80,2023
01041,Crenshaw,AL,0,13144,0.00,2023
01043,Cullman,AL,5,89463,0.56,2023
01045,Dale,AL,,49516,,
01047,Dallas,AL,,37536,,
01049,DeKalb,AL,3,71946,0.42,2020
01051,Elmore,AL,7,88669,0.79,2023
01053,Escambia,AL,,36695,,
01055,Etowah,AL,9,103208,0.87,2023
01057,Fayette,AL,0,16173,0.00,2023
01059,Franklin,AL,0,31978,0.00,2023
01061,Geneva,AL,0,26726,0.00,2023
01063,Greene,AL,0,7589,0.00,2023
01065,Hale,AL,0,14749,0.00,2023
01067,Henry,AL,,17450,,
01069,Houston,AL,15,107628,1.39,2023
01071,Jackson,AL,3,52839,0.57,2023
01073,Jefferson,AL,95,669744,1.42,2023
01075,Lamar,AL,0,13809,0.00,2023
01077,Lauderdale,AL,8,95037,0.84,2023
01079,Lawrence,AL,0,33182,0.00,2023
01081,Lee,AL,26,177663,1.46,2023
01083,Limestone,AL,5,107577,0.46,2023
01085,Lowndes,AL,0,10008,0.00,2023
01087,Macon,AL,0,18951,0.00,2023
01089,Madison,AL,68,397135,1.71,2023
01091,Marengo,AL,,19027,,
01093,Marion,AL,0,29190,0.00,2023
01095,Marshall,AL,4,98712,0.41,2023
01097,Mobile,AL,46,413162,1.11,2023
01099,Monroe,AL,0,19580,0.00,2023
01101,Montgomery,AL,26,227197,1.14,2023
01103,Morgan,AL,8,123742,0.65,2023
01105,Perry,AL,0,8231,0.00,2023
01107,Pickens,AL,,18843,,
01109,Pike,AL,3,32953,0.91,2019
01111,Randolph,AL,0,22310,0.00,2023
01113,Russell,AL,0,58858,0.00,2023
01115,St. Clair,AL,6,92903,0.65,2023
01117,Shelby,AL,35,226955,1.54,2023
01119,Sumter,AL,,12020,,
01121,Talladega,AL,5,81170,0.62,2023
01123,Tallapoosa,AL,3,41070,0.73,2023
01125,Tuscaloosa,AL,22,234036,0.94,2023
01127,Walker,AL,5,64886,0.77,2023
01129,Washington,AL,0,15270,0.00,2023
01131,Wilcox,AL,0,10347,0.00,2023
01133,Winston,AL,,23637,,
02013,Aleutians East,AK,0,3423,0.00,2023
02016,Aleutians West,AK,0,5178,0.00,2023
02020,Anchorage,AK,42,289069,1.45,2023
02050,Bethel,AK,,18487,,
