geoid,county,state,mh_providers_per_10k
01001,Autauga,AL,3.65
01003,Baldwin,AL,12.08
01005,Barbour,AL,2.85
01007,Bibb,AL,3.66
01009,Blount,AL,2.84
01011,Bullock,AL,2.02
01013,Butler,AL,8.70
01015,Calhoun,AL,16.31
01017,Chambers,AL,1.47
01019,Cherokee,AL,6.62
01021,Chilton,AL,8.40
01023,Choctaw,AL,1.63
01025,Clarke,AL,10.30
01027,Clay,AL,2.13
01029,Cleburne,AL,4.48
01031,Coffee,AL,10.96
01033,Colbert,AL,6.00
01035,Conecuh,AL,8.05
01037,Coosa,AL,1.95
01039,Covington,AL,7.91
01041,Crenshaw,AL,6.87
01043,Cullman,AL,16.42
01045,Dale,AL,14.04
01047,Dallas,AL,7.74
01049,DeKalb,AL,5.51
01051,Elmore,AL,3.65
01053,Escambia,AL,10.12
01055,Etowah,AL,15.41
01057,Fayette,AL,1.88
01059,Franklin,AL,1.57
01061,Geneva,AL,3.71
01063,Greene,AL,1.36
01065,Hale,AL,4.70
01067,Henry,AL,7.26
01069,Houston,AL,19.19
01071,Jackson,AL,5.61
01073,Jefferson,AL,27.10
01075,Lamar,AL,2.20
01077,Lauderdale,AL,19.61
01079,Lawrence,AL,12.24
01081,Lee,AL,13.53
01083,Limestone,AL,6.54
01085,Lowndes,AL,1.03
01087,Macon,AL,47.85
01089,Madison,AL,20.00
01091,Marengo,AL,4.28
01093,Marion,AL,3.08
01095,Marshall,AL,28.82
01097,Mobile,AL,13.79
01099,Monroe,AL,11.96
01101,Montgomery,AL,22.78
01103,Morgan,AL,17.27
01105,Perry,AL,6.46
01107,Pickens,AL,5.35
01109,Pike,AL,9.65
01111,Randolph,AL,3.07
01113,Russell,AL,5.62
01115,St. Clair,AL,2.93
01117,Shelby,AL,13.23
01119,Sumter,AL,1.71
01121,Talladega,AL,4.19
01123,Tallapoosa,AL,3.93
01125,Tuscaloosa,AL,16.89
01127,Walker,AL,11.89
01129,Washington,AL,3.33
01131,Wilcox,AL,3.02
01133,Winston,AL,2.12
02013,Aleutians East,AK,8.67
02016,Aleutians West,AK,19.38
02020,Anchorage,AK,78.12
02050,Bethel,AK,285.71
02060,Bristol Bay,AK,0.00
02068,Denali,AK,
02070,Dillingham,AK,104.17
02090,Fairbanks North Star,AK,84.75
02100,Haines,AK,53.19
02105,Hoonah-Angoon,AK,22.12
02110,Juneau,AK,107.53
02122,Kenai Peninsula,AK,40.82
02130,Ketchikan Gateway,AK,178.57
02150,Kodiak Island,AK,42.92
02158,Kusilvak,AK,11.25
02164,Lake and Peninsula,AK,22.52
02170,Matanuska-Susitna,AK,36.90
02180,Nome,AK,112.36
02185,North Slope,AK,9.43
02188,Northwest Arctic,AK,111.11
02195,Petersburg,AK,43.86
02198,Prince of Wales-Hyder,AK,100.00
02220,Sitka,AK,303.03
02230,Skagway,AK,18.25
02240,Southeast Fairbanks,AK,24.04
02261,Valdez-Cordova,AK,
02275,Wrangell,AK,277.78
02282,Yakutat,AK,14.56
02290,Yukon-Koyukuk,AK,19.49
04001,Apache,AZ,11.99
04003,Cochise,AZ,14.45
04005,Coconino,AZ,25.77
04007,Gila,AZ,9.26
04009,Graham,AZ,5.82
04011,Greenlee,AZ,
04012,La Paz,AZ,8.98
04013,Maricopa,AZ,21.37
04015,Mohave,AZ,8.05
04017,Navajo,AZ,10.63
04019,Pima,AZ,24.04
04021,Pinal,AZ,8.96
04023,Santa Cruz,AZ,5.69
04025,Yavapai,AZ,22.22
04027,Yuma,AZ,8.73
05001,Arkansas,AR,14.10
05003,Ashley,AR,8.76
05005,Baxter,AR,30.58
05007,Benton,AR,25.25
05009,Boone,AR,15.06
05011,Bradley,AR,8.90
05013,Calhoun,AR,
05015,Carroll,AR,9.03
05017,Chicot,AR,57.80
05019,Clark,AR,32.89
05021,Clay,AR,9.86
05023,Cleburne,AR,12.58
05025,Cleveland,AR,
05027,Columbia,AR,20.33
05029,Conway,AR,23.70
05031,Craighead,AR,41.32
05033,Crawford,AR,6.78
05035,Crittenden,AR,24.15
05037,Cross,AR,10.35
05039,Dallas,AR,35.59
05041,Desha,AR,6.68
05043,Drew,AR,66.67
05045,Faulkner,AR,19.46
05047,Franklin,AR,2.29
05049,Fulton,AR,8.86
05051,Garland,AR,29.94
05053,Grant,AR,13.05
05055,Greene,AR,23.98
05057,Hempstead,AR,11.38
05059,Hot Spring,AR,24.63
05061,Howard,AR,15.95
05063,Independence,AR,18.52
05065,Izard,AR,8.47
05067,Jackson,AR,10.73
05069,Jefferson,AR,24.04
05071,Johnson,AR,24.88
05073,Lafayette,AR,6.56
05075,Lawrence,AR,22.68
05077,Lee,AR,3.66
05079,Lincoln,AR,14.73
05081,Little River,AR,0.85
05083,Logan,AR,2.34
05085,Lonoke,AR,11.06
05087,Madison,AR,13.50
05089,Marion,AR,1.14
05091,Miller,AR,26.67
05093,Mississippi,AR,14.49
05095,Monroe,AR,3.07
05097,Montgomery,AR,2.32
05099,Nevada,AR,8.62
05101,Newton,AR,4.24
05103,Ouachita,AR,17.89
05105,Perry,AR,
05107,Phillips,AR,7.35
05109,Pike,AR,4.90
05111,Poinsett,AR,27.25
05113,Polk,AR,10.80
05115,Pope,AR,24.63
05117,Prairie,AR,2.49
05119,Pulaski,AR,52.63
05121,Randolph,AR,11.64
05123,St. Francis,AR,37.04
05125,Saline,AR,16.21
05127,Scott,AR,4.06
05129,Searcy,AR,21.79
05131,Sebastian,AR,39.22
05133,Sevier,AR,6.40
05135,Sharp,AR,20.04
05137,Stone,AR,17.36
05139,Union,AR,19.80
05141,Van Buren,AR,9.29
05143,Washington,AR,42.92
05145,White,AR,23.70
05147,Woodruff,AR,6.71
05149,Yell,AR,5.99
06001,Alameda,CA,76.92
06003,Alpine,CA,35.09
06005,Amador,CA,30.40
06007,Butte,CA,88.50
06009,Calaveras,CA,23.20
06011,Colusa,CA,24.51
06013,Contra Costa,CA,41.15
06015,Del Norte,CA,50.51
06017,El Dorado,CA,43.67
06019,Fresno,CA,48.78
06021,Glenn,CA,19.92
06023,Humboldt,CA,62.50
06025,Imperial,CA,20.53
06027,Inyo,CA,54.64
06029,Kern,CA,25.45
06031,Kings,CA,25.00
06033,Lake,CA,39.06
06035,Lassen,CA,31.55
06037,Los Angeles,CA,47.85
06039,Madera,CA,19.96
06041,Marin,CA,96.15
06043,Mariposa,CA,33.67
06045,Mendocino,CA,65.79
06047,Merced,CA,25.13
06049,Modoc,CA,41.15
06051,Mono,CA,22.94
06053,Monterey,CA,46.08
06055,Napa,CA,68.03
06057,Nevada,CA,113.64
06059,Orange,CA,40.00
06061,Placer,CA,39.22
06063,Plumas,CA,28.74
06065,Riverside,CA,28.33
06067,Sacramento,CA,46.30
06069,San Benito,CA,13.79
06071,San Bernardino,CA,31.06
06073,San Diego,CA,52.63
06075,San Francisco,CA,111.11
06077,San Joaquin,CA,29.07
06079,San Luis Obispo,CA,73.53
06081,San Mateo,CA,48.54
06083,Santa Barbara,CA,66.67
06085,Santa Clara,CA,45.25
06087,Santa Cruz,CA,98.04
06089,Shasta,CA,53.76
