geoid,county,state,pcp_per_10k
01001,Autauga,AL,4.40
01003,Baldwin,AL,6.27
01005,Barbour,AL,4.01
01007,Bibb,AL,6.68
01009,Blount,AL,2.03
01011,Bullock,AL,1.94
01013,Butler,AL,2.65
01015,Calhoun,AL,5.87
01017,Chambers,AL,4.05
01019,Cherokee,AL,4.40
01021,Chilton,AL,2.21
01023,Choctaw,AL,3.99
01025,Clarke,AL,3.95
01027,Clay,AL,2.82
01029,Cleburne,AL,2.65
01031,Coffee,AL,5.17
01033,Colbert,AL,6.61
01035,Conecuh,AL,4.41
01037,Coosa,AL,
01039,Covington,AL,4.80
01041,Crenshaw,AL,2.29
01043,Cullman,AL,4.81
01045,Dale,AL,2.84
01047,Dallas,AL,7.18
01049,DeKalb,AL,4.04
01051,Elmore,AL,2.24
01053,Escambia,AL,3.00
01055,Etowah,AL,7.37
01057,Fayette,AL,9.91
01059,Franklin,AL,4.06
01061,Geneva,AL,3.00
01063,Greene,AL,3.93
01065,Hale,AL,2.03
01067,Henry,AL,3.44
01069,Houston,AL,8.19
01071,Jackson,AL,5.12
01073,Jefferson,AL,11.11
01075,Lamar,AL,
01077,Lauderdale,AL,5.42
01079,Lawrence,AL,1.81
01081,Lee,AL,4.97
01083,Limestone,AL,3.44
01085,Lowndes,AL,1.00
01087,Macon,AL,3.18
01089,Madison,AL,8.55
01091,Marengo,AL,4.21
01093,Marion,AL,2.39
01095,Marshall,AL,5.50
01097,Mobile,AL,7.12
01099,Monroe,AL,4.58
01101,Montgomery,AL,9.67
01103,Morgan,AL,5.09
01105,Perry,AL,3.59
01107,Pickens,AL,3.72
01109,Pike,AL,4.24
01111,Randolph,AL,2.73
01113,Russell,AL,1.70
01115,St. Clair,AL,1.83
01117,Shelby,AL,7.71
01119,Sumter,AL,5.75
01121,Talladega,AL,2.58
01123,Tallapoosa,AL,4.63
01125,Tuscaloosa,AL,6.30
01127,Walker,AL,4.63
01129,Washington,AL,0.66
01131,Wilcox,AL,0.96
01133,Winston,AL,3.81
02013,Aleutians East,AK,
02016,Aleutians West,AK,5.93
02020,Anchorage,AK,11.63
02050,Bethel,AK,8.62
02060,Bristol Bay,AK,0.00
02068,Denali,AK,6.28
02070,Dillingham,AK,25.13
02090,Fairbanks North Star,AK,8.58
02100,Haines,AK,28.99
02105,Hoonah-Angoon,AK,
02110,Juneau,AK,12.82
02122,Kenai Peninsula,AK,8.03
02130,Ketchikan Gateway,AK,12.36
02150,Kodiak Island,AK,14.08
02158,Kusilvak,AK,
02164,Lake and Peninsula,AK,0.00
02170,Matanuska-Susitna,AK,4.88
02180,Nome,AK,13.18
02185,North Slope,AK,3.65
02188,Northwest Arctic,AK,7.94
02195,Petersburg,AK,14.90
02198,Prince of Wales-Hyder,AK,17.45
02220,Sitka,AK,21.41
02230,Skagway,AK,0.00
02240,Southeast Fairbanks,AK,5.74
02261,Valdez-Cordova,AK,
02275,Wrangell,AK,14.60
02282,Yakutat,AK,0.00
02290,Yukon-Koyukuk,AK,1.90
04001,Apache,AZ,4.12
04003,Cochise,AZ,5.79
04005,Coconino,AZ,8.20
04007,Gila,AZ,4.48
04009,Graham,AZ,4.10
04011,Greenlee,AZ,6.38
04012,La Paz,AZ,3.66
04013,Maricopa,AZ,6.99
04015,Mohave,AZ,5.33
04017,Navajo,AZ,6.29
04019,Pima,AZ,8.70
04021,Pinal,AZ,1.78
04023,Santa Cruz,AZ,3.76
04025,Yavapai,AZ,5.53
04027,Yuma,AZ,4.25
05001,Arkansas,AR,4.78
05003,Ashley,AR,4.28
05005,Baxter,AR,8.54
05007,Benton,AR,5.96
05009,Boone,AR,6.08
05011,Bradley,AR,5.76
05013,Calhoun,AR,2.11
05015,Carroll,AR,6.68
05017,Chicot,AR,5.99
05019,Clark,AR,4.69
05021,Clay,AR,0.70
05023,Cleburne,AR,6.80
05025,Cleveland,AR,
05027,Columbia,AR,6.18
05029,Conway,AR,5.75
05031,Craighead,AR,12.30
05033,Crawford,AR,3.48
05035,Crittenden,AR,2.74
05037,Cross,AR,4.20
05039,Dallas,AR,1.59
05041,Desha,AR,4.51
05043,Drew,AR,9.35
05045,Faulkner,AR,5.91
05047,Franklin,AR,3.49
05049,Fulton,AR,4.12
05051,Garland,AR,8.27
05053,Grant,AR,1.11
05055,Greene,AR,4.97
05057,Hempstead,AR,2.54
05059,Hot Spring,AR,2.41
05061,Howard,AR,4.73
05063,Independence,AR,7.69
05065,Izard,AR,2.88
05067,Jackson,AR,3.57
05069,Jefferson,AR,7.29
05071,Johnson,AR,5.42
05073,Lafayette,AR,3.24
05075,Lawrence,AR,3.07
05077,Lee,AR,1.16
05079,Lincoln,AR,0.77
05081,Little River,AR,1.67
05083,Logan,AR,1.89
05085,Lonoke,AR,1.47
05087,Madison,AR,2.95
05089,Marion,AR,2.94
05091,Miller,AR,6.80
05093,Mississippi,AR,3.53
05095,Monroe,AR,4.49
05097,Montgomery,AR,2.32
05099,Nevada,AR,2.44
05101,Newton,AR,
05103,Ouachita,AR,5.83
05105,Perry,AR,2.01
05107,Phillips,AR,6.29
05109,Pike,AR,3.97
05111,Poinsett,AR,0.88
05113,Polk,AR,7.75
05115,Pope,AR,6.43
05117,Prairie,AR,1.23
05119,Pulaski,AR,11.79
05121,Randolph,AR,5.30
05123,St. Francis,AR,5.72
05125,Saline,AR,3.91
05127,Scott,AR,2.04
05129,Searcy,AR,2.54
05131,Sebastian,AR,13.09
05133,Sevier,AR,4.43
05135,Sharp,AR,2.27
05137,Stone,AR,4.81
05139,Union,AR,6.26
05141,Van Buren,AR,2.55
05143,Washington,AR,8.00
05145,White,AR,6.61
05147,Woodruff,AR,3.27
05149,Yell,AR,5.95
06001,Alameda,CA,11.20
06003,Alpine,CA,0.00
06005,Amador,CA,4.60
06007,Butte,CA,5.86
06009,Calaveras,CA,3.89
06011,Colusa,CA,2.74
06013,Contra Costa,CA,10.14
06015,Del Norte,CA,6.05
06017,El Dorado,CA,7.56
06019,Fresno,CA,6.76
06021,Glenn,CA,1.74
06023,Humboldt,CA,6.09
06025,Imperial,CA,2.50
06027,Inyo,CA,6.85
06029,Kern,CA,4.78
