geoid,county,state,pm25
01001,Autauga,AL,9.3
01003,Baldwin,AL,7.8
01005,Barbour,AL,8.8
01007,Bibb,AL,8.6
01009,Blount,AL,8.8
01011,Bullock,AL,8.4
01013,Butler,AL,8.4
01015,Calhoun,AL,8.9
01017,Chambers,AL,8.9
01019,Cherokee,AL,8.4
01021,Chilton,AL,8.9
01023,Choctaw,AL,8.7
01025,Clarke,AL,8.8
01027,Clay,AL,6.8
01029,Cleburne,AL,8.3
01031,Coffee,AL,8.9
01033,Colbert,AL,7.5
01035,Conecuh,AL,8.5
01037,Coosa,AL,8.5
01039,Covington,AL,8.6
01041,Crenshaw,AL,8.5
01043,Cullman,AL,8.7
01045,Dale,AL,9
01047,Dallas,AL,8.7
01049,DeKalb,AL,7.2
01051,Elmore,AL,9.4
01053,Escambia,AL,8.9
01055,Etowah,AL,7.9
01057,Fayette,AL,8.3
01059,Franklin,AL,7.5
01061,Geneva,AL,8.9
01063,Greene,AL,8.5
01065,Hale,AL,8.7
01067,Henry,AL,9
01069,Houston,AL,9.3
01071,Jackson,AL,7.9
01073,Jefferson,AL,10.2
01075,Lamar,AL,8.2
01077,Lauderdale,AL,7.3
01079,Lawrence,AL,7.9
01081,Lee,AL,9.3
01083,Limestone,AL,7.8
01085,Lowndes,AL,8.7
01087,Macon,AL,8.9
01089,Madison,AL,7.1
01091,Marengo,AL,8.7
01093,Marion,AL,7.8
01095,Marshall,AL,8.7
01097,Mobile,AL,8
01099,Monroe,AL,8.6
01101,Montgomery,AL,7.9
01103,Morgan,AL,8.1
01105,Perry,AL,8.5
01107,Pickens,AL,8.6
01109,Pike,AL,8.6
01111,Randolph,AL,8.4
01113,Russell,AL,8.7
01115,St. Clair,AL,9.4
01117,Shelby,AL,10
01119,Sumter,AL,8.7
01121,Talladega,AL,9.1
01123,Tallapoosa,AL,8.6
01125,Tuscaloosa,AL,7.5
01127,Walker,AL,9
01129,Washington,AL,9
01131,Wilcox,AL,8.5
01133,Winston,AL,8.1
02013,Aleutians East,AK,
