FIPS,State,County,Dentist Ratio
1000,Alabama,,2016:1
1001,Alabama,Autauga,3320:1
1003,Alabama,Baldwin,2124:1
1005,Alabama,Barbour,3088:1
1007,Alabama,Bibb,4401:1
1009,Alabama,Blount,5951:1
1011,Alabama,Bullock,5101:1
1013,Alabama,Butler,2664:1
1015,Alabama,Calhoun,1544:1
1017,Alabama,Chambers,4870:1
1019,Alabama,Cherokee,6326:1
1021,Alabama,Chilton,3824:1
1023,Alabama,Choctaw,2073:1
1025,Alabama,Clarke,2814:1
1027,Alabama,Clay,7099:1
1029,Alabama,Cleburne,
1031,Alabama,Coffee,2884:1
1033,Alabama,Colbert,2001:1
1035,Alabama,Conecuh,5603:1
1037,Alabama,Coosa,
1039,Alabama,Covington,2686:1
1041,Alabama,Crenshaw,4342:1
1043,Alabama,Cullman,2061:1
1045,Alabama,Dale,2914:1
1047,Alabama,Dallas,2828:1
1049,Alabama,DeKalb,3428:1
1051,Alabama,Elmore,7464:1
1053,Alabama,Escambia,2292:1
1055,Alabama,Etowah,1982:1
1057,Alabama,Fayette,3224:1
1059,Alabama,Franklin,4562:1
1061,Alabama,Geneva,13392:1
1063,Alabama,Greene,
1065,Alabama,Hale,7298:1
1067,Alabama,Henry,3531:1
1069,Alabama,Houston,1566:1
1071,Alabama,Jackson,3111:1
1073,Alabama,Jefferson,1065:1
1075,Alabama,Lamar,4568:1
1077,Alabama,Lauderdale,1712:1
1079,Alabama,Lawrence,11071:1
1081,Alabama,Lee,2916:1
1083,Alabama,Limestone,3361:1
1085,Alabama,Lowndes,
1087,Alabama,Macon,3703:1
1089,Alabama,Madison,1860:1
1091,Alabama,Marengo,3749:1
1093,Alabama,Marion,4859:1
1095,Alabama,Marshall,2762:1
1097,Alabama,Mobile,1845:1
1099,Alabama,Monroe,4851:1
1101,Alabama,Montgomery,1258:1
1103,Alabama,Morgan,1911:1
1105,Alabama,Perry,4018:1
1107,Alabama,Pickens,4674:1
1109,Alabama,Pike,3301:1
1111,Alabama,Randolph,11240:1
1113,Alabama,Russell,3660:1
1115,Alabama,St. Clair,3479:1
1117,Alabama,Shelby,1967:1
1119,Alabama,Sumter,5927:1
1121,Alabama,Talladega,2783:1
1123,Alabama,Tallapoosa,3152:1
1125,Alabama,Tuscaloosa,2234:1
1127,Alabama,Walker,2145:1
1129,Alabama,Washington,7561:1
1131,Alabama,Wilcox,10059:1
1133,Alabama,Winston,5939:1
2000,Alaska,,954:1
2013,Alaska,Aleutians East,3398:1
2016,Alaska,Aleutians West,854:1
2020,Alaska,Anchorage,750:1
2050,Alaska,Bethel,630:1
2060,Alaska,Bristol Bay,865:1
2063,Alaska,Chugach,2291:1
2066,Alaska,Copper River,1295:1
2068,Alaska,Denali,1585:0
2070,Alaska,Dillingham,787:1
2090,Alaska,Fairbanks North Star,706:1
2100,Alaska,Haines,685:1
2105,Alaska,Hoonah-Angoon,2287:0
2110,Alaska,Juneau,905:1
2122,Alaska,Kenai Peninsula,1349:1
2130,Alaska,Ketchikan Gateway,1249:1
2150,Alaska,Kodiak Island,1817:1
2158,Alaska,Kusilvak,
2164,Alaska,Lake and Peninsula,1381:0
2170,Alaska,Matanuska-Susitna,1954:1
2180,Alaska,Nome,984:1
2185,Alaska,North Slope,1544:1
2188,Alaska,Northwest Arctic,2474:1
2195,Alaska,Petersburg,1120:1
2198,Alaska,Prince of Wales-Hyder,1883:1
2201,Alaska,Prince of Wales-Outer Ketchikan,
2220,Alaska,Sitka,762:1
2230,Alaska,Skagway,1081:0
2232,Alaska,Skagway-Hoonah-Angoon,
2240,Alaska,Southeast Fairbanks,1755:1
2261,Alaska,Valdez-Cordova,
2270,Alaska,Wade Hampton,
2275,Alaska,Wrangell,2070:1
2280,Alaska,Wrangell-Petersburg,
2282,Alaska,Yakutat,700:0
2290,Alaska,Yukon-Koyukuk,2590:1
4000,Arizona,,1509:1
4001,Arizona,Apache,1335:1
4003,Arizona,Cochise,1745:1
4005,Arizona,Coconino,1201:1
4007,Arizona,Gila,1634:1
4009,Arizona,Graham,1847:1
4011,Arizona,Greenlee,4651:1
4012,Arizona,La Paz,1651:1
4013,Arizona,Maricopa,1387:1
4015,Arizona,Mohave,2253:1
4017,Arizona,Navajo,1468:1
4019,Arizona,Pima,1487:1
4021,Arizona,Pinal,2919:1
4023,Arizona,Santa Cruz,4433:1
4025,Arizona,Yavapai,1474:1
4027,Arizona,Yuma,3102:1
5000,Arkansas,,2044:1
5001,Arkansas,Arkansas,2064:1
5003,Arkansas,Ashley,2294:1
5005,Arkansas,Baxter,1768:1
5007,Arkansas,Benton,2277:1
5009,Arkansas,Boone,1740:1
5011,Arkansas,Bradley,2534:1
5013,Arkansas,Calhoun,
5015,Arkansas,Carroll,3593:1
5017,Arkansas,Chicot,1975:1
5019,Arkansas,Clark,1932:1
5021,Arkansas,Clay,2378:1
5023,Arkansas,Cleburne,2299:1
5025,Arkansas,Cleveland,
5027,Arkansas,Columbia,2222:1
5029,Arkansas,Conway,2338:1
5031,Arkansas,Craighead,1256:1
5033,Arkansas,Crawford,4363:1
5035,Arkansas,Crittenden,1518:1
5037,Arkansas,Cross,1845:1
5039,Arkansas,Dallas,3096:1
5041,Arkansas,Desha,3590:1
5043,Arkansas,Drew,3382:1
5045,Arkansas,Faulkner,2321:1
5047,Arkansas,Franklin,5757:1
5049,Arkansas,Fulton,6191:1
5051,Arkansas,Garland,1641:1
5053,Arkansas,Grant,2594:1
5055,Arkansas,Greene,3097:1
5057,Arkansas,Hempstead,2779:1
5059,Arkansas,Hot Spring,3689:1
5061,Arkansas,Howard,4186:1
5063,Arkansas,Independence,2232:1
5065,Arkansas,Izard,4683:1
5067,Arkansas,Jackson,3325:1
5069,Arkansas,Jefferson,2570:1
5071,Arkansas,Johnson,3714:1
5073,Arkansas,Lafayette,
5075,Arkansas,Lawrence,3241:1
5077,Arkansas,Lee,2091:1
5079,Arkansas,Lincoln,6458:1
5081,Arkansas,Little River,2364:1
5083,Arkansas,Logan,2361:1
5085,Arkansas,Lonoke,3419:1
5087,Arkansas,Madison,2914:1
5089,Arkansas,Marion,5751:1
5091,Arkansas,Miller,3039:1
5093,Arkansas,Mississippi,2431:1
5095,Arkansas,Monroe,1641:1
5097,Arkansas,Montgomery,4278:1
5099,Arkansas,Nevada,
5101,Arkansas,Newton,
5103,Arkansas,Ouachita,2205:1
5105,Arkansas,Perry,
5107,Arkansas,Phillips,3061:1
5109,Arkansas,Pike,3393:1
5111,Arkansas,Poinsett,7498:1
5113,Arkansas,Polk,2417:1
5115,Arkansas,Pope,2136:1
5117,Arkansas,Prairie,8069:1
5119,Arkansas,Pulaski,1300:1
5121,Arkansas,Randolph,3767:1
5123,Arkansas,St. Francis,2245:1
5125,Arkansas,Saline,2962:1
5127,Arkansas,Scott,9805:1
5129,Arkansas,Searcy,2639:1
5131,Arkansas,Sebastian,1265:1
5133,Arkansas,Sevier,3922:1
5135,Arkansas,Sharp,3562:1
5137,Arkansas,Stone,4192:1
5139,Arkansas,Union,2221:1
5141,Arkansas,Van Buren,1789:1
5143,Arkansas,Washington,1590:1
5145,Arkansas,White,2880:1
5147,Arkansas,Woodruff,2016:1
5149,Arkansas,Yell,3355:1
6000,California,,1076:1
6001,California,Alameda,962:1
6003,California,Alpine,1190:0
6005,California,Amador,1593:1
6007,California,Butte,1234:1
6009,California,Calaveras,2024:1
6011,California,Colusa,2739:1
6013,California,Contra Costa,1070:1
6015,California,Del Norte,1177:1
6017,California,El Dorado,1259:1
6019,California,Fresno,1562:1
6021,California,Glenn,1134:1
6023,California,Humboldt,1216:1
6025,California,Imperial,3081:1
6027,California,Inyo,1248:1
6029,California,Kern,1901:1
6031,California,Kings,1577:1
6033,California,Lake,2273:1
6035,California,Lassen,880:1
6037,California,Los Angeles,1032:1
6039,California,Madera,2081:1
6041,California,Marin,803:1
6043,California,Mariposa,1891:1
6045,California,Mendocino,1247:1
6047,California,Merced,2148:1
6049,California,Modoc,1419:1
6051,California,Mono,2163:1
6053,California,Monterey,1357:1
6055,California,Napa,988:1
6057,California,Nevada,1162:1
6059,California,Orange,810:1
6061,California,Placer,949:1
6063,California,Plumas,1209:1
6065,California,Riverside,1734:1
6067,California,Sacramento,1215:1
6069,California,San Benito,1931:1
6071,California,San Bernardino,1299:1
6073,California,San Diego,1013:1
6075,California,San Francisco,571:1
6077,California,San Joaquin,1659:1
6079,California,San Luis Obispo,1097:1
6081,California,San Mateo,862:1
6083,California,Santa Barbara,1093:1
6085,California,Santa Clara,782:1
6087,California,Santa Cruz,1106:1
6089,California,Shasta,1256:1
6091,California,Sierra,1609:1
6093,California,Siskiyou,1506:1
6095,California,Solano,1025:1
6097,California,Sonoma,1020:1
6099,California,Stanislaus,1414:1
6101,California,Sutter,1173:1
6103,California,Tehama,1591:1
6105,California,Trinity,3156:1
6107,California,Tulare,1749:1
6109,California,Tuolumne,826:1
6111,California,Ventura,1022:1
6113,California,Yolo,1610:1
6115,California,Yuba,3372:1
8000,Colorado,,1161:1
8001,Colorado,Adams,1414:1
8003,Colorado,Alamosa,691:1
8005,Colorado,Arapahoe,844:1
8007,Colorado,Archuleta,1750:1
8009,Colorado,Baca,1716:1
8011,Colorado,Bent,5399:1
8013,Colorado,Boulder,900:1
8014,Colorado,Broomfield,1043:1
8015,Colorado,Chaffee,1556:1
8017,Colorado,Cheyenne,1732:0
8019,Colorado,Clear Creek,2339:1
8021,Colorado,Conejos,3790:1
8023,Colorado,Costilla,3603:0
8025,Colorado,Crowley,5614:1
8027,Colorado,Custer,
8029,Colorado,Delta,2107:1
8031,Colorado,Denver,1207:1
8033,Colorado,Dolores,1228:1
8035,Colorado,Douglas,1403:1
8037,Colorado,Eagle,1494:1
8039,Colorado,Elbert,6950:1
8041,Colorado,El Paso,966:1
8043,Colorado,Fremont,2919:1
8045,Colorado,Garfield,1297:1
8047,Colorado,Gilpin,
8049,Colorado,Grand,2628:1
8051,Colorado,Gunnison,2158:1
8053,Colorado,Hinsdale,775:0
8055,Colorado,Huerfano,3541:1
8057,Colorado,Jackson,1302:0
8059,Colorado,Jefferson,963:1
8061,Colorado,Kiowa,1424:0
8063,Colorado,Kit Carson,6961:1
8065,Colorado,Lake,2442:1
8067,Colorado,La Plata,1011:1
8069,Colorado,Larimer,1179:1
8071,Colorado,Las Animas,1592:1
8073,Colorado,Lincoln,1102:1
8075,Colorado,Logan,1602:1
8077,Colorado,Mesa,1344:1
8079,Colorado,Mineral,931:0
8081,Colorado,Moffat,1647:1
8083,Colorado,Montezuma,1470:1
8085,Colorado,Montrose,932:1
8087,Colorado,Morgan,1462:1
8089,Colorado,Otero,3051:1
8091,Colorado,Ouray,850:1
8093,Colorado,Park,5980:1
8095,Colorado,Phillips,
8097,Colorado,Pitkin,1534:1
8099,Colorado,Prowers,1976:1
8101,Colorado,Pueblo,1425:1
8103,Colorado,Rio Blanco,1314:1
8105,Colorado,Rio Grande,2265:1
8107,Colorado,Routt,926:1
8109,Colorado,Saguache,
8111,Colorado,San Juan,803:0
8113,Colorado,San Miguel,1601:1
8115,Colorado,Sedgwick,2295:1
8117,Colorado,Summit,955:1
8119,Colorado,Teller,2071:1
8121,Colorado,Washington,2406:1
8123,Colorado,Weld,2060:1
8125,Colorado,Yuma,1650:1
9000,Connecticut,,1152:1
9001,Connecticut,Fairfield,1063:1
9003,Connecticut,Hartford,929:1
9005,Connecticut,Litchfield,1555:1
