"Notes","County","County Code",Average Heat Wave Days Based on Net Daily Heat Stress
,"Autauga County, AL","01001",6.13
,"Baldwin County, AL","01003",6.57
,"Barbour County, AL","01005",6.13
,"Bibb County, AL","01007",6.17
,"Blount County, AL","01009",6.30
,"Bullock County, AL","01011",6.00
,"Butler County, AL","01013",6.07
,"Calhoun County, AL","01015",6.43
,"Chambers County, AL","01017",6.07
,"Cherokee County, AL","01019",6.37
,"Chilton County, AL","01021",6.30
,"Choctaw County, AL","01023",6.13
,"Clarke County, AL","01025",6.13
,"Clay County, AL","01027",6.30
,"Cleburne County, AL","01029",6.37
,"Coffee County, AL","01031",6.13
,"Colbert County, AL","01033",6.17
,"Conecuh County, AL","01035",6.00
,"Coosa County, AL","01037",6.13
,"Covington County, AL","01039",6.07
,"Crenshaw County, AL","01041",6.10
,"Cullman County, AL","01043",6.47
,"Dale County, AL","01045",6.17
,"Dallas County, AL","01047",6.27
,"DeKalb County, AL","01049",6.17
,"Elmore County, AL","01051",6.17
,"Escambia County, AL","01053",6.27
,"Etowah County, AL","01055",6.50
,"Fayette County, AL","01057",6.57
,"Franklin County, AL","01059",6.13
,"Geneva County, AL","01061",6.13
,"Greene County, AL","01063",6.40
,"Hale County, AL","01065",6.63
,"Henry County, AL","01067",6.33
,"Houston County, AL","01069",6.13
,"Jackson County, AL","01071",6.20
,"Jefferson County, AL","01073",6.20
,"Lamar County, AL","01075",6.30
,"Lauderdale County, AL","01077",6.13
,"Lawrence County, AL","01079",6.33
,"Lee County, AL","01081",5.83
,"Limestone County, AL","01083",6.50
,"Lowndes County, AL","01085",5.93
,"Macon County, AL","01087",6.07
,"Madison County, AL","01089",6.47
,"Marengo County, AL","01091",6.43
,"Marion County, AL","01093",6.53
,"Marshall County, AL","01095",6.47
,"Mobile County, AL","01097",6.20
,"Monroe County, AL","01099",6.00
,"Montgomery County, AL","01101",5.97
,"Morgan County, AL","01103",6.60
,"Perry County, AL","01105",6.43
,"Pickens County, AL","01107",6.27
,"Pike County, AL","01109",6.00
,"Randolph County, AL","01111",6.17
,"Russell County, AL","01113",5.97
,"St. Clair County, AL","01115",6.53
,"Shelby County, AL","01117",6.33
,"Sumter County, AL","01119",6.17
,"Talladega County, AL","01121",6.43
,"Tallapoosa County, AL","01123",6.20
,"Tuscaloosa County, AL","01125",6.43
,"Walker County, AL","01127",6.43
,"Washington County, AL","01129",6.30
,"Wilcox County, AL","01131",6.13
,"Winston County, AL","01133",6.40
,"Apache County, AZ","04001",7.00
,"Cochise County, AZ","04003",6.43
,"Coconino County, AZ","04005",6.93
,"Gila County, AZ","04007",6.20
,"Graham County, AZ","04009",6.53
,"Greenlee County, AZ","04011",6.77
,"La Paz County, AZ","04012",6.23
,"Maricopa County, AZ","04013",6.47
,"Mohave County, AZ","04015",6.87
,"Navajo County, AZ","04017",6.87
,"Pima County, AZ","04019",6.33
,"Pinal County, AZ","04021",6.30
,"Santa Cruz County, AZ","04023",6.17
,"Yavapai County, AZ","04025",6.50
,"Yuma County, AZ","04027",6.30
,"Arkansas County, AR","05001",6.33
,"Ashley County, AR","05003",6.03
,"Baxter County, AR","05005",5.90
,"Benton County, AR","05007",6.17
,"Boone County, AR","05009",5.97
,"Bradley County, AR","05011",6.13
,"Calhoun County, AR","05013",5.87
,"Carroll County, AR","05015",6.37
,"Chicot County, AR","05017",6.13
,"Clark County, AR","05019",6.10
,"Clay County, AR","05021",6.03
,"Cleburne County, AR","05023",6.03
,"Cleveland County, AR","05025",6.07
,"Columbia County, AR","05027",5.97
,"Conway County, AR","05029",6.27
,"Craighead County, AR","05031",6.00
,"Crawford County, AR","05033",6.60
,"Crittenden County, AR","05035",6.17
,"Cross County, AR","05037",6.17
,"Dallas County, AR","05039",6.10
,"Desha County, AR","05041",6.50
,"Drew County, AR","05043",6.50
,"Faulkner County, AR","05045",6.07
,"Franklin County, AR","05047",6.27
,"Fulton County, AR","05049",5.77
,"Garland County, AR","05051",6.00
,"Grant County, AR","05053",6.03
,"Greene County, AR","05055",6.03
,"Hempstead County, AR","05057",6.13
,"Hot Spring County, AR","05059",6.07
,"Howard County, AR","05061",5.80
,"Independence County, AR","05063",5.83
,"Izard County, AR","05065",5.83
,"Jackson County, AR","05067",5.80
,"Jefferson County, AR","05069",6.33
,"Johnson County, AR","05071",6.37
,"Lafayette County, AR","05073",6.07
,"Lawrence County, AR","05075",5.90
,"Lee County, AR","05077",6.17
,"Lincoln County, AR","05079",6.50
,"Little River County, AR","05081",5.93
,"Logan County, AR","05083",6.40
,"Lonoke County, AR","05085",6.47
,"Madison County, AR","05087",6.20
,"Marion County, AR","05089",6.03
,"Miller County, AR","05091",6.10
,"Mississippi County, AR","05093",6.27
,"Monroe County, AR","05095",6.53
,"Montgomery County, AR","05097",6.10
,"Nevada County, AR","05099",6.17
,"Newton County, AR","05101",6.33
,"Ouachita County, AR","05103",6.03
,"Perry County, AR","05105",6.10
,"Phillips County, AR","05107",6.47
,"Pike County, AR","05109",5.93
,"Poinsett County, AR","05111",6.23
,"Polk County, AR","05113",6.23
,"Pope County, AR","05115",6.23
,"Prairie County, AR","05117",6.43
,"Pulaski County, AR","05119",6.30
,"Randolph County, AR","05121",6.20
,"St. Francis County, AR","05123",6.07
,"Saline County, AR","05125",6.03
,"Scott County, AR","05127",6.37
,"Searcy County, AR","05129",5.67
,"Sebastian County, AR","05131",6.23
,"Sevier County, AR","05133",6.03
,"Sharp County, AR","05135",6.03
,"Stone County, AR","05137",5.83
,"Union County, AR","05139",6.07
,"Van Buren County, AR","05141",6.20
,"Washington County, AR","05143",6.30
,"White County, AR","05145",6.17
,"Woodruff County, AR","05147",6.27
,"Yell County, AR","05149",6.27
,"Alameda County, CA","06001",6.10
,"Alpine County, CA","06003",0.00
,"Amador County, CA","06005",6.50
,"Butte County, CA","06007",6.57
,"Calaveras County, CA","06009",6.37
,"Colusa County, CA","06011",6.20
,"Contra Costa County, CA","06013",6.07
,"Del Norte County, CA","06015",0.00
,"El Dorado County, CA","06017",6.47
,"Fresno County, CA","06019",6.70
,"Glenn County, CA","06021",6.73
,"Humboldt County, CA","06023",1.57
,"Imperial County, CA","06025",6.63
,"Inyo County, CA","06027",6.97
,"Kern County, CA","06029",6.90
,"Kings County, CA","06031",6.70
,"Lake County, CA","06033",6.47
,"Lassen County, CA","06035",2.40
,"Los Angeles County, CA","06037",6.67
,"Madera County, CA","06039",6.57
