FIPS,State,County,Mental Health Provider Ratio
01000,Alabama,,684:1
01001,Alabama,Autauga,2743:1
01003,Alabama,Baldwin,828:1
01005,Alabama,Barbour,3512:1
01007,Alabama,Bibb,2734:1
01009,Alabama,Blount,3519:1
01011,Alabama,Bullock,4949:1
01013,Alabama,Butler,1149:1
01015,Alabama,Calhoun,613:1
01017,Alabama,Chambers,6816:1
01019,Alabama,Cherokee,1510:1
01021,Alabama,Chilton,1191:1
01023,Alabama,Choctaw,6126:1
01025,Alabama,Clarke,971:1
01027,Alabama,Clay,4704:1
01029,Alabama,Cleburne,2234:1
01031,Alabama,Coffee,912:1
01033,Alabama,Colbert,1667:1
01035,Alabama,Conecuh,1242:1
01037,Alabama,Coosa,5134:1
01039,Alabama,Covington,1265:1
01041,Alabama,Crenshaw,1456:1
01043,Alabama,Cullman,609:1
01045,Alabama,Dale,712:1
01047,Alabama,Dallas,1292:1
01049,Alabama,DeKalb,1814:1
01051,Alabama,Elmore,2741:1
01053,Alabama,Escambia,988:1
01055,Alabama,Etowah,649:1
01057,Alabama,Fayette,5322:1
01059,Alabama,Franklin,6360:1
01061,Alabama,Geneva,2699:1
01063,Alabama,Greene,7341:1
01065,Alabama,Hale,2127:1
01067,Alabama,Henry,1377:1
01069,Alabama,Houston,521:1
01071,Alabama,Jackson,1782:1
01073,Alabama,Jefferson,369:1
01075,Alabama,Lamar,4554:1
01077,Alabama,Lauderdale,510:1
01079,Alabama,Lawrence,817:1
01081,Alabama,Lee,739:1
01083,Alabama,Limestone,1529:1
01085,Alabama,Lowndes,9717:1
01087,Alabama,Macon,209:1
01089,Alabama,Madison,500:1
01091,Alabama,Marengo,2336:1
01093,Alabama,Marion,3249:1
01095,Alabama,Marshall,347:1
01097,Alabama,Mobile,725:1
01099,Alabama,Monroe,836:1
01101,Alabama,Montgomery,439:1
01103,Alabama,Morgan,579:1
01105,Alabama,Perry,1548:1
01107,Alabama,Pickens,1869:1
01109,Alabama,Pike,1036:1
01111,Alabama,Randolph,3255:1
01113,Alabama,Russell,1780:1
01115,Alabama,St. Clair,3413:1
01117,Alabama,Shelby,756:1
01119,Alabama,Sumter,5864:1
01121,Alabama,Talladega,2386:1
01123,Alabama,Tallapoosa,2542:1
01125,Alabama,Tuscaloosa,592:1
01127,Alabama,Walker,841:1
01129,Alabama,Washington,3004:1
01131,Alabama,Wilcox,3315:1
01133,Alabama,Winston,4722:1
02000,Alaska,,131:1
02013,Alaska,Aleutians East,1154:1
02016,Alaska,Aleutians West,516:1
02020,Alaska,Anchorage,128:1
02050,Alaska,Bethel,35:1
02060,Alaska,Bristol Bay,844:0
02063,Alaska,Chugach,451:1
02066,Alaska,Copper River,297:1
02068,Alaska,Denali,
02070,Alaska,Dillingham,96:1
02090,Alaska,Fairbanks North Star,118:1
02100,Alaska,Haines,188:1
02105,Alaska,Hoonah-Angoon,452:1
02110,Alaska,Juneau,93:1
02122,Alaska,Kenai Peninsula,245:1
02130,Alaska,Ketchikan Gateway,56:1
02150,Alaska,Kodiak Island,233:1
02158,Alaska,Kusilvak,889:1
02164,Alaska,Lake and Peninsula,444:1
02170,Alaska,Matanuska-Susitna,271:1
02180,Alaska,Nome,89:1
02185,Alaska,North Slope,1060:1
02188,Alaska,Northwest Arctic,90:1
02195,Alaska,Petersburg,228:1
02198,Alaska,Prince of Wales-Hyder,100:1
02201,Alaska,Prince of Wales-Outer Ketchikan,
02220,Alaska,Sitka,33:1
02230,Alaska,Skagway,548:1
02232,Alaska,Skagway-Hoonah-Angoon,
02240,Alaska,Southeast Fairbanks,416:1
02261,Alaska,Valdez-Cordova,
02270,Alaska,Wade Hampton,
02275,Alaska,Wrangell,36:1
02280,Alaska,Wrangell-Petersburg,
02282,Alaska,Yakutat,687:1
02290,Alaska,Yukon-Koyukuk,513:1
04000,Arizona,,509:1
04001,Arizona,Apache,834:1
04003,Arizona,Cochise,692:1
04005,Arizona,Coconino,388:1
04007,Arizona,Gila,1080:1
04009,Arizona,Graham,1718:1
04011,Arizona,Greenlee,
04012,Arizona,La Paz,1114:1
04013,Arizona,Maricopa,468:1
04015,Arizona,Mohave,1243:1
04017,Arizona,Navajo,941:1
04019,Arizona,Pima,416:1
