FIPS,State,County,Primary Care Physicians Ratio
01000,Alabama,,1571:1
01001,Alabama,Autauga,2273:1
01003,Alabama,Baldwin,1595:1
01005,Alabama,Barbour,2496:1
01007,Alabama,Bibb,1498:1
01009,Alabama,Blount,4920:1
01011,Alabama,Bullock,5160:1
01013,Alabama,Butler,3777:1
01015,Alabama,Calhoun,1705:1
01017,Alabama,Chambers,2467:1
01019,Alabama,Cherokee,2272:1
01021,Alabama,Chilton,4527:1
01023,Alabama,Choctaw,2507:1
01025,Alabama,Clarke,2529:1
01027,Alabama,Clay,3548:1
01029,Alabama,Cleburne,3776:1
01031,Alabama,Coffee,1935:1
01033,Alabama,Colbert,1512:1
01035,Alabama,Conecuh,2266:1
01037,Alabama,Coosa,
01039,Alabama,Covington,2085:1
01041,Alabama,Crenshaw,4361:1
01043,Alabama,Cullman,2081:1
01045,Alabama,Dale,3524:1
01047,Alabama,Dallas,1393:1
01049,Alabama,DeKalb,2476:1
01051,Alabama,Elmore,4465:1
01053,Alabama,Escambia,3336:1
01055,Alabama,Etowah,1357:1
01057,Alabama,Fayette,1009:1
01059,Alabama,Franklin,2463:1
01061,Alabama,Geneva,3338:1
01063,Alabama,Greene,2543:1
01065,Alabama,Hale,4918:1
01067,Alabama,Henry,2910:1
01069,Alabama,Houston,1221:1
01071,Alabama,Jackson,1955:1
01073,Alabama,Jefferson,900:1
01075,Alabama,Lamar,
01077,Alabama,Lauderdale,1844:1
01079,Alabama,Lawrence,5515:1
01081,Alabama,Lee,2014:1
01083,Alabama,Limestone,2906:1
01085,Alabama,Lowndes,9965:1
01087,Alabama,Macon,3149:1
01089,Alabama,Madison,1169:1
01091,Alabama,Marengo,2375:1
01093,Alabama,Marion,4178:1
01095,Alabama,Marshall,1819:1
01097,Alabama,Mobile,1405:1
01099,Alabama,Monroe,2183:1
01101,Alabama,Montgomery,1034:1
01103,Alabama,Morgan,1963:1
01105,Alabama,Perry,2785:1
01107,Alabama,Pickens,2686:1
01109,Alabama,Pike,2357:1
01111,Alabama,Randolph,3665:1
01113,Alabama,Russell,5872:1
01115,Alabama,St. Clair,5456:1
01117,Alabama,Shelby,1297:1
01119,Alabama,Sumter,1738:1
01121,Alabama,Talladega,3882:1
01123,Alabama,Tallapoosa,2159:1
01125,Alabama,Tuscaloosa,1587:1
01127,Alabama,Walker,2161:1
01129,Alabama,Washington,15147:1
01131,Alabama,Wilcox,10446:1
01133,Alabama,Winston,2628:1
02000,Alaska,,1033:1
02013,Alaska,Aleutians East,
02016,Alaska,Aleutians West,1686:1
02020,Alaska,Anchorage,860:1
02050,Alaska,Bethel,1160:1
02060,Alaska,Bristol Bay,838:0
02063,Alaska,Chugach,631:1
02066,Alaska,Copper River,2630:1
02068,Alaska,Denali,1593:1
02070,Alaska,Dillingham,398:1
02090,Alaska,Fairbanks North Star,1166:1
02100,Alaska,Haines,345:1
02105,Alaska,Hoonah-Angoon,
02110,Alaska,Juneau,780:1
02122,Alaska,Kenai Peninsula,1245:1
02130,Alaska,Ketchikan Gateway,809:1
02150,Alaska,Kodiak Island,710:1
02158,Alaska,Kusilvak,
02164,Alaska,Lake and Peninsula,1416:0
02170,Alaska,Matanuska-Susitna,2050:1
02180,Alaska,Nome,759:1
02185,Alaska,North Slope,2743:1
02188,Alaska,Northwest Arctic,1260:1
02195,Alaska,Petersburg,671:1
02198,Alaska,Prince of Wales-Hyder,573:1
02201,Alaska,Prince of Wales-Outer Ketchikan,
02220,Alaska,Sitka,467:1
02230,Alaska,Skagway,1132:0
02232,Alaska,Skagway-Hoonah-Angoon,
02240,Alaska,Southeast Fairbanks,1743:1
02261,Alaska,Valdez-Cordova,
02270,Alaska,Wade Hampton,
02275,Alaska,Wrangell,685:1
02280,Alaska,Wrangell-Petersburg,
02282,Alaska,Yakutat,704:0
02290,Alaska,Yukon-Koyukuk,5275:1
04000,Arizona,,1505:1
04001,Arizona,Apache,2430:1
04003,Arizona,Cochise,1727:1
04005,Arizona,Coconino,1219:1
04007,Arizona,Gila,2233:1
04009,Arizona,Graham,2441:1
04011,Arizona,Greenlee,1567:1
04012,Arizona,La Paz,2735:1
