geoid,county,state,uninsured_rate
01001,Autauga,AL,8
01003,Baldwin,AL,10
01005,Barbour,AL,12
01007,Bibb,AL,11
01009,Blount,AL,13
01011,Bullock,AL,11
01013,Butler,AL,10
01015,Calhoun,AL,12
01017,Chambers,AL,13
01019,Cherokee,AL,13
01021,Chilton,AL,13
01023,Choctaw,AL,11
01025,Clarke,AL,11
01027,Clay,AL,11
01029,Cleburne,AL,12
01031,Coffee,AL,12
01033,Colbert,AL,11
01035,Conecuh,AL,11
01037,Coosa,AL,9
01039,Covington,AL,11
01041,Crenshaw,AL,13
01043,Cullman,AL,12
01045,Dale,AL,10
01047,Dallas,AL,10
01049,DeKalb,AL,15
01051,Elmore,AL,9
01053,Escambia,AL,12
01055,Etowah,AL,11
01057,Fayette,AL,12
01059,Franklin,AL,14
01061,Geneva,AL,12
01063,Greene,AL,9
01065,Hale,AL,11
01067,Henry,AL,11
01069,Houston,AL,12
01071,Jackson,AL,13
01073,Jefferson,AL,10
01075,Lamar,AL,11
01077,Lauderdale,AL,11
01079,Lawrence,AL,12
01081,Lee,AL,10
01083,Limestone,AL,9
01085,Lowndes,AL,9
01087,Macon,AL,10
01089,Madison,AL,8
01091,Marengo,AL,10
01093,Marion,AL,11
01095,Marshall,AL,12
01097,Mobile,AL,12
01099,Monroe,AL,11
01101,Montgomery,AL,11
01103,Morgan,AL,12
01105,Perry,AL,10
01107,Pickens,AL,10
01109,Pike,AL,11
01111,Randolph,AL,13
01113,Russell,AL,12
01115,St. Clair,AL,10
01117,Shelby,AL,8
01119,Sumter,AL,9
01121,Talladega,AL,10
01123,Tallapoosa,AL,12
01125,Tuscaloosa,AL,9
01127,Walker,AL,12
01129,Washington,AL,10
01131,Wilcox,AL,12
01133,Winston,AL,12
02013,Aleutians East,AK,20
02016,Aleutians West,AK,17
02020,Anchorage,AK,12
02050,Bethel,AK,14
02060,Bristol Bay,AK,17
02068,Denali,AK,13
02070,Dillingham,AK,17
02090,Fairbanks North Star,AK,11
02100,Haines,AK,11
02105,Hoonah-Angoon,AK,17
02110,Juneau,AK,12
02122,Kenai Peninsula,AK,15
02130,Ketchikan Gateway,AK,16
02150,Kodiak Island,AK,18
02158,Kusilvak,AK,14
02164,Lake and Peninsula,AK,19
02170,Matanuska-Susitna,AK,15
02180,Nome,AK,15
02185,North Slope,AK,15
02188,Northwest Arctic,AK,17
02195,Petersburg,AK,18
02198,Prince of Wales-Hyder,AK,19
02220,Sitka,AK,15
02230,Skagway,AK,16
02240,Southeast Fairbanks,AK,16
02261,Valdez-Cordova,AK,
02275,Wrangell,AK,21
02282,Yakutat,AK,19
02290,Yukon-Koyukuk,AK,19
04001,Apache,AZ,13
04003,Cochise,AZ,11
